# 79cdf0db-cd86-41b7-b901-ac500d4955db
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
9.6211686; 0.6929797; 0.6754455; 0.3245545; 0.8439910; -0.5363573; -0.0842431; 0.0000000; -0.6269177; 0.6538802; 3.2632973; 1.2086113
9.7852752; 1.0659065; 0.5136752; 0.4863248; 0.9596944; -0.2810455; -0.0451083; 0.3915205; -0.4124894; 0.4141841; 3.4099401; 1.0683750
9.8665835; 1.5067024; 0.4256847; 0.5743153; 0.9952070; -0.0977909; 0.0242645; 0.8429017; -0.2809821; 0.2674291; 3.5345002; 0.9956133
9.8843407; 2.0012347; 0.3996196; 0.6003804; 0.9998909; 0.0147724; 0.1136657; 1.3531318; -0.1545433; 0.1684786; 3.6915669; 1.0622715
9.8577938; 2.5353706; 0.4146650; 0.5853350; 0.9970425; 0.0768518; 0.2067834; 1.9055786; -0.0834536; 0.1211044; 3.8346654; 1.1990100
9.8061902; 3.0949775; 0.4577279; 0.5422721; 0.9948681; 0.1011807; 0.2892928; 2.4794255; -0.0250944; 0.0768226; 4.0219473; 1.1616244
9.7487771; 3.6659225; 0.5059901; 0.4940099; 0.9955757; 0.0939630; 0.3509901; 3.0541243; 0.0103301; 0.0418055; 4.1905736; 0.8218873
9.7048016; 4.2340729; 0.5391732; 0.4608268; 0.9985115; 0.0545424; 0.3841732; 3.6103403; 0.0232720; 0.0090668; 4.2882564; -0.2379042
9.6935023; 4.7852993; 0.5432895; 0.4567105; 0.9997975; -0.0201248; 0.3836239; 4.1330172; 0.0173858; -0.0348201; 4.2414439; -0.8454095
9.7226021; 5.3097906; 0.5054387; 0.4945613; 0.9967155; -0.0809823; 0.3484147; 4.6370658; 0.0183233; 0.0497555; 4.1165657; -1.2345312
9.7656001; 5.8105698; 0.4559298; 0.5440702; 0.9968431; -0.0793971; 0.2831109; 5.1441236; 0.0820339; 0.1639521; 3.9201702; -1.3652355
9.7896668; 6.2930333; 0.4237814; 0.5762186; 0.9999767; -0.0068269; 0.1960913; 5.6517727; 0.1908936; 0.2704372; 3.7467489; -1.1899043
9.7619932; 6.7625624; 0.4477309; 0.5522691; 0.9908231; 0.1351652; 0.0998073; 6.1524356; 0.3437104; 0.3365968; 3.5898545; -0.9211871
9.6588632; 7.2177657; 0.5485922; 0.4514078; 0.9522385; 0.3053553; 0.0096673; 6.6375765; 0.4700167; 0.2986917; 3.4870033; -0.7275811
9.4799428; 7.6398366; 0.7423477; 0.2576523; 0.8795260; 0.4758508; -0.0598970; 7.0968160; 0.6194082; 0.3061224; 3.4002915; -0.1700563
9.2286051; 8.0072076; 0.7452115; 0.2547885; 0.7570714; 0.6533322; -0.0997885; 7.5267722; 0.7539402; 0.3696453; 3.3832631; 0.2096183
8.9082466; 8.2984288; 0.7251287; 0.2748713; 0.5742529; 0.8186780; -0.1069024; 7.9347659; 0.9160487; 0.4296754; 3.4271707; 0.7199865
8.5245983; 8.5036428; 0.6213803; 0.3786197; 0.3729874; 0.9278364; -0.0814705; 8.3493333; 1.1049004; 0.3096772; 3.5611473; 0.9795240
8.0876672; 8.6342248; 0.4790611; 0.5209389; 0.2080440; 0.9781195; -0.0266198; 8.7993551; 1.2147621; 0.2431749; 3.6705783; 0.8809681
7.6079169; 8.7038196; 0.4086170; 0.5913830; 0.0873325; 0.9961792; 0.0491221; 9.2912324; 1.3212177; 0.1893436; 3.7879062; 0.7727328
7.0958115; 8.7260720; 0.3882613; 0.6117387; 0.0059196; 0.9999825; 0.1324266; 9.8177489; 1.4065115; 0.1570721; 3.8887265; 0.9333491
6.5618147; 8.7146269; 0.4029149; 0.5970851; -0.0438021; 0.9990402; 0.2100511; 10.3658367; 1.4865021; 0.1114423; 4.0423753; 1.2700830
6.0163905; 8.6831290; 0.4385971; 0.5614029; -0.0675456; 0.9977162; 0.2747694; 10.9216472; 1.5323269; 0.0734500; 4.1986219; 1.4024230
5.4700026; 8.6452231; 0.4808916; 0.5191084; -0.0665805; 0.9977811; 0.3241477; 11.4711904; 1.5607804; 0.0208576; 4.4043716; 1.6128502
4.9329447; 8.6143444; 0.5165531; 0.4834469; -0.0458348; 0.9989490; 0.3583148; 12.0031025; 1.5651091; -0.0044068; 4.5864293; 1.7035565
4.4098843; 8.5970005; 0.5383004; 0.4616996; -0.0213232; 0.9997726; 0.3788449; 12.5178297; 1.5635903; -0.0001222; 4.7717012; 1.7566865
3.8987073; 8.5913491; 0.5479814; 0.4520186; -0.0012017; 0.9999993; 0.3882123; 13.0214094; 1.5626498; -0.0045060; 4.9536664; 1.7543607
3.3968961; 8.5950505; 0.5484411; 0.4515589; 0.0152665; 0.9998835; 0.3893124; 13.5168336; 1.5601093; -0.0052639; 5.1266730; 1.6761589
2.9019329; 8.6057652; 0.5420846; 0.4579154; 0.0272870; 0.9996276; 0.3845118; 14.0072826; 1.5583315; -0.0015249; 5.2847114; 1.5492354
2.4113000; 8.6211536; 0.5312631; 0.4687369; 0.0346007; 0.9994012; 0.3753095; 14.4954599; 1.5585608; 0.0024370; 5.4270480; 1.4155548
1.9224796; 8.6388761; 0.5181921; 0.4818079; 0.0370612; 0.9993130; 0.3631920; 14.9838379; 1.5602355; 0.0041774; 5.5549028; 1.2632762
1.4329540; 8.6565932; 0.5050242; 0.4949758; 0.0343560; 0.9994097; 0.3500241; 15.4748200; 1.5627691; 0.0059418; 5.6672929; 1.1295519
0.9402799; 8.6720315; 0.4937364; 0.5062636; 0.0279988; 0.9996080; 0.3378262; 15.9700720; 1.5653356; 0.0043275; 5.7665201; 1.0336095
0.4435184; 8.6842566; 0.4855764; 0.5144236; 0.0214456; 0.9997700; 0.3279343; 16.4692652; 1.5663065; -0.0003698; 5.8557818; 0.9527778
-0.0568729; 8.6935772; 0.4804256; 0.5195744; 0.0159159; 0.9998733; 0.3209341; 16.9715868; 1.5657942; -0.0016720; 5.9368694; 0.8800656
-0.5603835; 8.7003488; 0.4780787; 0.5219213; 0.0111194; 0.9999382; 0.3168939; 17.4766892; 1.5648763; -0.0020050; 6.0107801; 0.8166007
-1.0665027; 8.7049273; 0.4779361; 0.5220639; 0.0070984; 0.9999748; 0.3155497; 17.9841026; 1.5639899; -0.0015426; 6.0783171; 0.7605969
-1.5747201; 8.7076683; 0.4795630; 0.5204370; 0.0038120; 0.9999927; 0.3164456; 18.4933666; 1.5633967; -0.0008303; 6.1401535; 0.7091200
-2.0845249; 8.7089275; 0.4826545; 0.5173455; 0.0012477; 0.9999992; 0.3190494; 19.0039943; 1.5631345; -0.0002262; 6.1968123; 0.6608345
-2.5954068; 8.7090606; 0.4869215; 0.5130785; -0.0006091; 0.9999998; 0.3228522; 19.5154860; 1.5630928; 0.0000366; 6.2486865; 0.6149978
-3.1068551; 8.7084233; 0.4919353; 0.5080647; -0.0017670; 0.9999984; 0.3274250; 20.0273313; 1.5631215; 0.0000352; 6.3051717; 0.5424416
-3.6183592; 8.7073714; 0.4973439; 0.5026561; -0.0022308; 0.9999975; 0.3324021; 20.5390135; 1.5631271; -0.0000125; 6.3478796; 0.4994623
-4.1294086; 8.7062604; 0.5028186; 0.4971814; -0.0020012; 0.9999980; 0.3374348; 21.0500117; 1.5631101; -0.0000671; 6.3870195; 0.4592253
-4.6394927; 8.7054462; 0.5079814; 0.4920186; -0.0010743; 0.9999994; 0.3421906; 21.5598034; 1.5629794; -0.0004700; 6.4228466; 0.4153127
-5.1481010; 8.7052843; 0.5125164; 0.4874836; 0.0005568; 0.9999998; 0.3464399; 22.0678676; 1.5624061; -0.0018329; 6.4551107; 0.3693283
-5.6547229; 8.7061306; 0.5160717; 0.4839283; 0.0029078; 0.9999958; 0.3501686; 22.5736849; 1.5609594; -0.0039784; 6.4835870; 0.3297822
-6.1588479; 8.7083407; 0.5183872; 0.4816128; 0.0059818; 0.9999821; 0.3535127; 23.0767442; 1.5585310; -0.0057555; 6.5087251; -1.9748826
-6.6599653; 8.7122703; 0.5185432; 0.4814568; 0.0098512; 0.9999515; 0.3564754; 23.5765120; 1.5556902; -0.0055769; 6.3359756; -3.2443560
-7.1577302; 8.7182436; 0.5167396; 0.4832604; 0.0141503; 0.9998999; 0.3584710; 24.0727799; 1.5544730; 0.0009111; 6.0695441; -3.3785369
-7.6533482; 8.7262899; 0.5129170; 0.4870830; 0.0182536; 0.9998334; 0.3579169; 24.5669938; 1.5577588; 0.0123533; 5.7894127; -3.3057842
-8.1488720; 8.7362775; 0.5071965; 0.4928035; 0.0219888; 0.9997582; 0.3521965; 25.0613268; 1.5678828; 0.0281570; 5.5026569; -3.1249929
-8.6463628; 8.7480729; 0.4996401; 0.5003599; 0.0253483; 0.9996787; 0.3376918; 25.5580165; 1.5861582; 0.0448037; 5.2177124; -2.8774993
-9.1478821; 8.7615428; 0.4904943; 0.5095057; 0.0282600; 0.9996006; 0.3104418; 26.0595258; 1.6115065; 0.0564470; 4.9409319; -2.6304148
-9.6554910; 8.7765536; 0.4799782; 0.5200218; 0.0308169; 0.9995250; 0.2673393; 26.5684632; 1.6400495; 0.0576521; 4.6737423; -2.4039665
-10.1712509; 8.7929721; 0.4680339; 0.5319661; 0.0325809; 0.9994691; 0.2072963; 27.0875594; 1.6669868; 0.0502745; 4.4163442; -2.1866530
-10.6972230; 8.8106647; 0.4551594; 0.5448406; 0.0351576; 0.9993818; 0.1324507; 27.6187161; 1.6861320; 0.0184201; 4.1230060; -1.8750192
-11.2330897; 8.8269991; 0.4450140; 0.5549860; 0.0190106; 0.9998193; 0.0491334; 28.1624491; 1.7070634; 0.0660563; 3.8947124; -1.6232432
-11.7624629; 8.8224630; 0.4546029; 0.5453971; -0.0457277; 0.9989539; -0.0323895; 28.6982961; 1.7579012; 0.1436658; 3.6865949; -1.4237966
-12.2623039; 8.7705582; 0.5092806; 0.4907194; -0.1736333; 0.9848104; -0.1004895; 29.1966958; 1.8576807; 0.2723423; 3.5013205; -1.1463132
-12.7095528; 8.6447642; 0.6583654; 0.3416346; -0.3859364; 0.9225254; -0.1457681; 29.6363759; 2.0513495; 0.5278055; 3.3502638; -0.6164356
-13.0830439; 8.4229594; 0.6822769; 0.3177231; -0.6298661; 0.7767037; -0.1627231; 30.0280049; 2.2715737; 0.5448433; 3.2809675; -0.0277680
-13.3725642; 8.1084562; 0.6908794; 0.3091206; -0.8239571; 0.5666521; -0.1491968; 30.4117720; 2.4851872; 0.5103182; 3.2849943; 0.5738816
-13.5718280; 7.7136872; 0.6185262; 0.3814738; -0.9425898; 0.3339528; -0.1054477; 30.8235407; 2.6805210; 0.4438007; 3.3581814; 1.0193229
-13.6805006; 7.2529827; 0.4976106; 0.5023894; -0.9899182; 0.1416400; -0.0342285; 31.2882921; 2.8197051; 0.2725819; 3.4788632; 0.9620200
-13.7203487; 6.7476826; 0.4559073; 0.5440927; -0.9996201; 0.0275625; 0.0562665; 31.8040774; 2.9418615; 0.1529704; 3.6344692; 0.8300728
-13.7182729; 6.2207556; 0.4590934; 0.5409066; -0.9996470; -0.0265677; 0.1498237; 32.3444351; 3.0033018; 0.0980341; 3.7483178; 1.0005345
-13.7011721; 5.6951676; 0.4759142; 0.5240858; -0.9995289; -0.0306913; 0.2296721; 32.8768248; 3.0377249; 0.0392143; 3.8811032; 1.2410784
-13.6902232; 5.1866820; 0.4883426; 0.5116574; -0.9999220; -0.0124906; 0.2869540; 33.3839872; 3.0610810; 0.0586548; 4.0483648; 1.4590738
-13.6882742; 4.6879888; 0.4907961; 0.5092039; -0.9999898; 0.0045211; 0.3202175; 33.8786603; 3.0913066; 0.0603331; 4.2319564; 1.4783149
-13.6945102; 4.1871676; 0.4855194; 0.5144806; -0.9998000; 0.0199973; 0.3305194; 34.3746125; 3.1218544; 0.0613613; 4.4015336; 0.9041834
-13.7081131; 3.6723067; 0.4732785; 0.5267215; -0.9994920; 0.0318717; 0.3182785; 34.8859605; -3.1312621; 0.0583765; 4.4827885; -0.8779426
-13.7256984; 3.1377717; 0.4574018; 0.5425982; -0.9995433; 0.0302174; 0.2839459; 35.4223553; -3.0871265; 0.0909858; 4.2464242; -1.8219930
